id,arabic,english,register,topic,priority
637550e0,أُحاوِلُ أَنْ آكُلَ طَعامًا مُتَوازِنًا كُلَّ يَوْمٍ.,I try to eat balanced food every day.,msa,health,normal
c0a71bb7,أَنا أَمْزَحُ مَعَكَ فَقَطْ.,I'm only joking with you.,msa,emotions,normal
86a7f5ba,حاوَلْتُ أَنْ أَتَّبِعَ نِظامًا غِذائِيًّا,I tried to follow a diet,msa,health,normal
7e68d5a9,عادَةً آكُلُ غَداءً خَفيفًا.,I usually eat a light lunch.,msa,daily_life,normal
ba0e0671,القِطاراتُ السَّريعَةُ تَرْبِطُ المُدُنَ الكَبيرَةَ.,Fast trains connect the big cities.,msa,travel,normal
1abde1a0,جَميعُ وَسائِلِ المُواصَلاتِ,All means of transportation,msa,travel,normal
1d694e10,حَرَكَةُ التَّنَقُّلِ مُقَيَّدَةٌ في تِلْكَ المِنْطَقَةِ.,Movement is restricted in that area.,msa,travel,normal
2eee4b5c,سَأُريكَ أَجْمَلَ الأَماكِنِ في المَدينَةِ غَدًا.,I will show you the most beautiful places in the city tomorrow.,msa,sightseeing,normal
d34c5f31,الدَّليلُ جَعَلَنا نَرى تاريخَ المَدينَةِ الحَقيقِيَّ.,The guide made us see the city's real history.,msa,sightseeing,normal
1eb26e5e,أُفَضِّلُ الاسْتِعانَةَ بِمُرْشِدٍ سِياحِيٍّ مَحَلِّيٍّ.,I prefer to use a local tour guide.,msa,sightseeing,normal
1ba28958,اخْتَرْنا وَسيلَةَ نَقْلٍ اقْتِصادِيَّةً وَمُريحَةً.,We chose an economical and comfortable means of transport.,msa,travel,normal
fcddbc41,قَريبونَ مِنَ القَلْبِ,Close to the heart,msa,emotions,normal
d9c0798b,أَنا صاحِبُ شَرِكَةٍ صَغيرَةٍ لِلْبَرْمَجَةِ.,I am the owner of a small software company.,msa,work,normal
97b82ad5,مَنْ جَدَّ وَجَدَ,"Whoever strives, succeeds",msa,culture,normal
aeceb678,مَنْ سارَ عَلى الدَّرْبِ وَصَلَ,Whoever follows the path will arrive,msa,culture,normal
be3c9ef5,نادِرًا ما أُشاهِدُ التِّلْفازَ هَذِهِ الأَيّامَ.,I rarely watch TV these days.,msa,daily_life,normal
