arabic,english,register,concept_tag
مِنَ العَقَبَةِ إِلى شَرْمِ الشَّيْخِ بِالقارِبِ,From Aqaba to Sharm el-Sheikh by boat,msa,travel
سَنَتَقابَلُ في شَرْمِ الشَّيْخِ,We will meet in Sharm el-Sheikh,msa,travel
سَأَكونُ في شَرْمِ الشَّيْخِ يَوْمَيْنِ فَقَطْ,I will be in Sharm el-Sheikh for only two days,msa,travel
بَعْدَ ذَلِكَ سَأَذْهَبُ إِلى دَهَبَ,After that I will go to Dahab,msa,travel
أَنا وَعائِلَتي,Me and my family,msa,people
أُريدُ أَنْ أَتَجَوَّلَ حَوْلَ المَدينَةِ القَديمَةِ,I want to wander around the old city,msa,travel
اكْتِشاف,Discovery / exploration,msa,travel
أُريدُ أَنْ أَكْتَشِفَ الثَّقافَةَ,I want to discover the culture,msa,culture
سِباحَة,Swimming,msa,leisure
أُريدُ السِّباحَةَ,I want to swim,msa,leisure
هَلْ تُحِبُّ السِّباحَةَ؟,Do you like swimming?,msa,leisure
سَنَسْبَحُ أَمامَ الفُنْدُقِ,We will swim in front of the hotel,msa,leisure
هَلْ يوجَدُ شاطِئٌ خاصٌّ؟,Is there a private beach?,msa,travel
ماءٌ دافِئٌ,Warm water,msa,leisure
مارَسْتُ اللَّهْجَةَ المِصْرِيَّةَ,I practised the Egyptian dialect,msa,culture
يَجِبُ عَلَيْكَ الغَوْصُ,You must go diving,msa,leisure
الغَوْصُ لَيْسَ مُناسِبًا لِلأَطْفالِ,Diving is not suitable for children,msa,leisure
المَرْجانُ,Coral,msa,leisure
سنوركلينج,Snorkelling,msa,leisure
سَنَفْعَلُ إِنْ شاءَ اللهُ,We will do it God willing,msa,leisure
أَنا أَكْتَشِفُ، أَنا أَتَجَوَّلُ,I explore / I wander,msa,travel
دي أَوِّل زِيارة في مَصْر,This is my first visit to Egypt,egyptian,travel
دي أَوِّل مَرَّة في مَصْر,This is my first time in Egypt,egyptian,travel
عايْزين نِجْلِس بَرَّة,We want to sit outside,egyptian,cafe
عايِز أَشوف الأَطْعِمة دي,I want to see this food,egyptian,cafe
الأَطْعِمة دي بِكام؟,How much is this food?,egyptian,cafe
الفِنْجان,The cup,msa,cafe
أَنا جاهِزٌ لِلسَّفَرِ,I'm ready to travel,msa,travel
أُريدُ أَنْ أُمارِسَ اللَّهْجَةَ المِصْرِيَّةَ,I want to practise the Egyptian dialect,msa,culture
أَتَمَنّى أَنْ تَسْتَعْمِلَ هَذِهِ الكَلِماتِ في الزِّيارَةِ,I hope you use these words on the visit,msa,travel
أَتَمَنّى لَكَ إِجازَةً سَعيدَةً,I wish you a happy holiday,msa,greetings
شُكْرًا عَلى الدَّرْسِ,Thank you for the lesson,msa,greetings
إِلى اللِّقاءِ,Goodbye / until we meet again,msa,greetings
أَيْنَ المَطْبَخُ؟,Where is the kitchen?,msa,travel
أَيْنَ الشّاطِئُ الخاصُّ بِالفُنْدُقِ؟,Where is the hotel's private beach?,msa,travel
رَقْمُ الهاتِفِ,Phone number,msa,people
هَذا مُفيدٌ جِدًّا,This is very useful,msa,emotions
أَنا لَدَيَّ فُضولٌ,I'm curious,msa,emotions
قِطار,Train,msa,travel
طائِرَة,Plane / aircraft,msa,travel
التَّجَوُّل,Strolling / wandering around,msa,travel
جَوْلَة,A tour,msa,travel
