id,arabic,english,register,concept_tag
b0533902,مِنَ العَقَبَةِ إِلى شَرْمِ الشَّيْخِ بِالقارِبِ,From Aqaba to Sharm el-Sheikh by boat,msa,travel
f1e46cad,سَنَتَقابَلُ في شَرْمِ الشَّيْخِ,We will meet in Sharm el-Sheikh,msa,travel
f4daee1f,سَأَكونُ في شَرْمِ الشَّيْخِ يَوْمَيْنِ فَقَطْ,I will be in Sharm el-Sheikh for only two days,msa,travel
0b84aeb8,بَعْدَ ذَلِكَ سَأَذْهَبُ إِلى دَهَبَ,After that I will go to Dahab,msa,travel
5ef2b2a6,أُريدُ أَنْ أَتَجَوَّلَ حَوْلَ المَدينَةِ القَديمَةِ,I want to wander around the old city,msa,travel
bf22f72a,أُريدُ أَنْ أَكْتَشِفَ الثَّقافَةَ,I want to discover the culture,msa,culture
f0b88028,هَلْ تُحِبُّ السِّباحَةَ؟,Do you like swimming?,msa,leisure
dbb6bb81,سَنَسْبَحُ أَمامَ الفُنْدُقِ,We will swim in front of the hotel,msa,leisure
b001377b,هَلْ يوجَدُ شاطِئٌ خاصٌّ؟,Is there a private beach?,msa,travel
2a01e5cc,مارَسْتُ اللَّهْجَةَ المِصْرِيَّةَ,I practised the Egyptian dialect,msa,culture
53dd0b03,يَجِبُ عَلَيْكَ الغَوْصُ,You must go diving,msa,leisure
ff65e35b,الغَوْصُ لَيْسَ مُناسِبًا لِلأَطْفالِ,Diving is not suitable for children,msa,leisure
8310e1a4,سَنَفْعَلُ إِنْ شاءَ اللهُ,We will do it God willing,msa,leisure
90039be0,أَنا أَكْتَشِفُ، أَنا أَتَجَوَّلُ,I explore / I wander,msa,travel
bf7ecd39,دي أَوِّل زِيارة في مَصْر,This is my first visit to Egypt,egyptian,travel
05c8c70e,دي أَوِّل مَرَّة في مَصْر,This is my first time in Egypt,egyptian,travel
de4b2df4,عايْزين نِجْلِس بَرَّة,We want to sit outside,egyptian,cafe
07632afc,عايِز أَشوف الأَطْعِمة دي,I want to see this food,egyptian,cafe
f3b79d22,الأَطْعِمة دي بِكام؟,How much is this food?,egyptian,cafe
7cd4356c,أَنا جاهِزٌ لِلسَّفَرِ,I'm ready to travel,msa,travel
9483e9c3,أُريدُ أَنْ أُمارِسَ اللَّهْجَةَ المِصْرِيَّةَ,I want to practise the Egyptian dialect,msa,culture
30e9db21,أَتَمَنّى أَنْ تَسْتَعْمِلَ هَذِهِ الكَلِماتِ في الزِّيارَةِ,I hope you use these words on the visit,msa,travel
365c0264,أَتَمَنّى لَكَ إِجازَةً سَعيدَةً,I wish you a happy holiday,msa,greetings
dfd496d8,شُكْرًا عَلى الدَّرْسِ,Thank you for the lesson,msa,greetings
ae4f86e5,أَيْنَ الشّاطِئُ الخاصُّ بِالفُنْدُقِ؟,Where is the hotel's private beach?,msa,travel
12abfa57,هَذا مُفيدٌ جِدًّا,This is very useful,msa,emotions
444d075e,أَنا لَدَيَّ فُضولٌ,I'm curious,msa,emotions
094fa073,أَنا وَعائِلَتي نُحِبُّ السَّفَرَ كَثيراً,Me and my family love to travel a lot,msa,people
7540cc0f,اكْتِشافُ أَماكِنَ جَديدَةٍ مُمْتِعٌ جِدّاً,Discovering new places is very enjoyable,msa,travel
2c60c385,السِّباحَةُ في البَحْرِ رائِعَةٌ,Swimming in the sea is wonderful,msa,leisure
68495752,أُريدُ السِّباحَةَ في المُسْبَحِ غَداً,I want to swim in the pool tomorrow,msa,leisure
740a4547,الماءُ الدّافِئُ مُريحٌ لِلْجِسْمِ,Warm water is comfortable for the body,msa,leisure
5f041816,المَرْجانُ في البَحْرِ الأَحْمَرِ جَميلٌ,The coral in the Red Sea is beautiful,msa,leisure
239a6bf3,السنوركلينج نَشاطٌ مُمْتِعٌ في الإِجازَةِ,Snorkelling is a fun activity on vacation,msa,leisure
ea1ab5db,الفِنْجانُ عَلى الطّاوِلَةِ فارِغٌ,The cup on the table is empty,msa,cafe
f01468f0,شُكْراً لَكَ، إِلى اللِّقاءِ!,"Thank you, goodbye!",msa,greetings
8c0a76c9,أَيْنَ المَطْبَخُ في هٰذا البَيْتِ؟,Where is the kitchen in this house?,msa,travel
056c9a80,ما رَقْمُ الهاتِفِ الخاصُّ بِكَ؟,What is your phone number?,msa,people
f1f5f5bf,القِطارُ يَصِلُ في السّاعَةِ الثّالِثَةِ,The train arrives at three o'clock,msa,travel
a81ee49c,الطّائِرَةُ تُقْلِعُ بَعْدَ عَشْرِ دَقائِقَ,The plane takes off in ten minutes,msa,travel
8c1db032,التَّجَوُّلُ في المَدينَةِ القَديمَةِ مُمْتِعٌ,Strolling in the old city is enjoyable,msa,travel
63e1a9fb,هٰذِهِ جَوْلَةٌ جَميلَةٌ في المَتْحَفِ,This is a nice tour of the museum,msa,travel
